tool	arch	debian	kind	default
zsh	zsh	zsh	cli	yes
zsh-autosuggestions	zsh-autosuggestions	zsh-autosuggestions	cli	yes
zsh-syntax-highlighting	zsh-syntax-highlighting	zsh-syntax-highlighting	cli	yes
zsh-completions	zsh-completions	unsupported	cli	yes
starship	starship	starship	cli	yes
stow	stow	stow	cli	yes
git	git	git	cli	yes
github-cli	github-cli	gh	cli	yes
openssh	openssh	openssh-client	cli	yes
less	less	less	cli	yes
neovim	neovim	mise	cli	yes
bat	bat	bat	cli	yes
fd	fd	fd-find	cli	yes
ripgrep	ripgrep	ripgrep	cli	yes
eza	eza	mise	cli	yes
fzf	fzf	fzf	cli	yes
zoxide	zoxide	zoxide	cli	yes
fastfetch	fastfetch	fastfetch	cli	yes
uv	uv	mise	cli	yes
mise	manual	mise	cli	yes
nvm	nvm	excluded	cli	yes
nodejs	excluded	mise	cli	yes
pnpm	pnpm	mise	cli	yes
jdk-openjdk	jdk-openjdk	default-jdk	cli	no
docker	docker	docker.io	cli	no
docker-compose	docker-compose	docker-compose	cli	no
libvirt	libvirt	libvirt-daemon-system	cli	no
qemu	qemu-full	qemu-system-x86	cli	no
swtpm	swtpm	swtpm	cli	no
virt-manager	virt-manager	virt-manager	gui	no
ghostty	ghostty	manual	gui	no
zed	zed	manual	gui	no
android-studio	android-studio	manual	gui	no
zen-browser	zen-browser-bin	manual	gui	no
yay	yay	unsupported	cli	yes
